HubID,HubFormat,AssortmentTier,CompetitorDistance,CompetitorOpenSinceMonth,CompetitorOpenSinceYear,LoyaltyProgram,LoyaltyProgramSinceWeek,LoyaltyProgramSinceYear,LoyaltyProgramInterval
1,3,1,1270.0,9.0,2008.0,0,,,
2,1,1,570.0,11.0,2007.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
3,1,1,14130.0,12.0,2006.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
4,3,3,620.0,9.0,2009.0,0,,,
5,1,1,29910.0,4.0,2015.0,0,,,
6,1,1,310.0,12.0,2013.0,0,,,
7,1,3,24000.0,4.0,2013.0,0,,,
8,1,1,7520.0,10.0,2014.0,0,,,
9,1,3,2030.0,8.0,2000.0,0,,,
10,1,1,3160.0,9.0,2009.0,0,,,
11,1,3,960.0,11.0,2011.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
12,1,3,1070.0,,,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
13,4,1,310.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
14,1,1,1300.0,3.0,2014.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
15,4,3,4110.0,3.0,2010.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
16,1,3,3270.0,,,0,,,
17,1,1,50.0,12.0,2005.0,1,26.0,2010.0,"Jan,Apr,Jul,Oct"
18,4,3,13840.0,6.0,2010.0,1,14.0,2012.0,"Jan,Apr,Jul,Oct"
19,1,3,3240.0,,,1,22.0,2011.0,"Mar,Jun,Sept,Dec"
20,4,1,2340.0,5.0,2009.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
21,3,3,550.0,10.0,1999.0,1,45.0,2009.0,"Jan,Apr,Jul,Oct"
22,1,1,1040.0,,,1,22.0,2012.0,"Jan,Apr,Jul,Oct"
23,4,1,4060.0,8.0,2005.0,0,,,
24,1,3,4590.0,3.0,2000.0,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
25,3,1,430.0,4.0,2003.0,0,,,
26,4,1,2300.0,,,0,,,
27,1,1,60.0,1.0,2005.0,1,5.0,2011.0,"Jan,Apr,Jul,Oct"
28,1,1,1200.0,10.0,2014.0,1,6.0,2015.0,"Mar,Jun,Sept,Dec"
29,4,3,2170.0,,,0,,,
30,1,1,40.0,2.0,2014.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
31,4,3,9800.0,7.0,2012.0,0,,,
32,1,1,2910.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
33,1,3,1320.0,5.0,2013.0,0,,,
34,3,1,2240.0,9.0,2009.0,0,,,
35,4,3,7660.0,10.0,2000.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
36,1,3,540.0,6.0,2003.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
37,3,1,4230.0,12.0,2014.0,0,,,
38,4,1,1090.0,4.0,2007.0,0,,,
39,1,1,260.0,10.0,2006.0,1,31.0,2013.0,"Feb,May,Aug,Nov"
40,1,1,180.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
41,4,3,1180.0,,,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
42,1,3,290.0,,,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
43,4,1,4880.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
44,1,1,540.0,6.0,2011.0,0,,,
45,4,1,9710.0,2.0,2014.0,0,,,
46,3,1,1200.0,9.0,2005.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
47,1,3,270.0,4.0,2013.0,1,14.0,2013.0,"Jan,Apr,Jul,Oct"
48,1,1,1060.0,5.0,2012.0,0,,,
49,4,3,18010.0,9.0,2007.0,0,,,
50,4,1,6260.0,11.0,2009.0,0,,,
51,1,3,10570.0,7.0,2013.0,1,9.0,2011.0,"Jan,Apr,Jul,Oct"
52,4,3,450.0,4.0,2014.0,1,39.0,2010.0,"Jan,Apr,Jul,Oct"
53,1,3,30360.0,9.0,2013.0,0,,,
54,4,3,7170.0,8.0,2014.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
55,1,1,720.0,11.0,2004.0,0,,,
56,4,3,6620.0,3.0,2012.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
57,4,3,420.0,6.0,2014.0,0,,,
58,1,3,7340.0,5.0,2008.0,1,27.0,2012.0,"Jan,Apr,Jul,Oct"
59,1,3,2840.0,6.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
60,4,3,5540.0,10.0,2009.0,0,,,
61,1,3,350.0,12.0,2007.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
62,1,1,2050.0,,,0,,,
63,3,3,3700.0,6.0,2010.0,1,18.0,2010.0,"Feb,May,Aug,Nov"
64,4,3,22560.0,,,1,14.0,2013.0,"Jan,Apr,Jul,Oct"
65,1,3,13840.0,5.0,2010.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
66,4,1,7660.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
67,1,3,410.0,2.0,2006.0,0,,,
68,1,3,250.0,,,1,35.0,2012.0,"Mar,Jun,Sept,Dec"
69,3,3,1130.0,,,1,40.0,2011.0,"Jan,Apr,Jul,Oct"
70,3,3,4840.0,,,0,,,
71,1,1,17500.0,8.0,2008.0,1,37.0,2009.0,"Mar,Jun,Sept,Dec"
72,1,1,2200.0,12.0,2009.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct"
73,1,3,1650.0,9.0,2008.0,0,,,
74,1,1,330.0,,,0,,,
75,4,3,22440.0,12.0,2013.0,0,,,
76,4,3,19960.0,3.0,2006.0,0,,,
77,4,3,1090.0,8.0,2009.0,1,10.0,2014.0,"Jan,Apr,Jul,Oct"
78,1,1,3510.0,11.0,2006.0,1,5.0,2013.0,"Feb,May,Aug,Nov"
79,1,1,3320.0,,,0,,,
80,4,1,7910.0,,,0,,,
81,1,1,2370.0,3.0,2011.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
82,1,1,22390.0,4.0,2008.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
83,1,1,2710.0,,,0,,,
84,1,3,11810.0,8.0,2014.0,0,,,
85,2,1,1870.0,10.0,2011.0,0,,,
86,1,1,480.0,2.0,2005.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct"
87,1,1,560.0,12.0,2010.0,0,,,
88,1,1,10690.0,10.0,2005.0,0,,,
89,1,1,2380.0,7.0,2004.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
90,1,1,330.0,11.0,2007.0,0,,,
91,3,1,2410.0,,,1,35.0,2011.0,"Jan,Apr,Jul,Oct"
92,3,1,240.0,,,1,45.0,2009.0,"Feb,May,Aug,Nov"
93,1,1,16690.0,,,1,14.0,2011.0,"Jan,Apr,Jul,Oct"
94,4,3,14620.0,,,0,,,
95,1,1,1890.0,10.0,2014.0,0,,,
96,1,1,8780.0,2.0,2005.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
97,4,3,8980.0,,,0,,,
98,4,3,15140.0,12.0,2006.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct"
99,3,3,2030.0,11.0,2003.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
100,4,1,17930.0,,,0,,,
101,4,3,2440.0,,,1,22.0,2012.0,"Mar,Jun,Sept,Dec"
102,1,1,150.0,12.0,2007.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec"
103,4,3,5210.0,5.0,2015.0,0,,,
104,1,1,390.0,6.0,2009.0,0,,,
105,1,3,6190.0,,,1,23.0,2013.0,"Mar,Jun,Sept,Dec"
106,1,1,1390.0,8.0,2013.0,0,,,
107,1,1,1930.0,9.0,2009.0,0,,,
108,4,3,2190.0,9.0,2003.0,0,,,
109,1,3,3300.0,11.0,2010.0,0,,,
110,1,3,46590.0,4.0,2013.0,0,,,
111,4,3,7890.0,,,1,37.0,2009.0,"Jan,Apr,Jul,Oct"
112,1,1,1630.0,9.0,2009.0,0,,,
113,4,3,20930.0,11.0,1999.0,0,,,
114,3,1,4510.0,,,1,48.0,2011.0,"Mar,Jun,Sept,Dec"
115,4,3,5740.0,4.0,2007.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct"
116,1,1,680.0,4.0,2013.0,0,,,
117,1,1,3450.0,9.0,2011.0,0,,,
